post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47708457,Rust Threads on the GPU,technology,39,13,PaulHoule,2026-04-14 06:17:01,0.325,False
47728970,"Write less code, be more responsible",technology,64,35,orhunp_,2026-04-14 06:17:02,0.5384615384615384,False
47753689,Building a CLI for all of Cloudflare,technology,289,94,soheilpro,2026-04-14 06:17:02,0.32413793103448274,True
47729046,Air Powered Segment Display? [video],technology,85,11,ProfDreamer,2026-04-14 06:17:02,0.12790697674418605,False
47756772,GAIA – Open-source framework for building AI agents that run on local hardware,technology,122,29,galaxyLogic,2026-04-14 06:17:02,0.23577235772357724,False
47758347,N-Day-Bench – Can LLMs find real vulnerabilities in real codebases?,technology,55,15,mufeedvh,2026-04-14 06:17:02,0.26785714285714285,False
47759292,The AI revolution in math has arrived,technology,76,42,sonabinu,2026-04-14 06:17:03,0.5454545454545454,False
47755209,B-trees and database indexes (2024),technology,97,40,tosh,2026-04-14 06:17:03,0.40816326530612246,False
47750872,Servo is now available on crates.io,technology,445,141,ffin,2026-04-14 06:17:03,0.31614349775784756,True
47752466,MEMS Array Chip Can Project Video the Size of a Grain of Sand,technology,82,38,bookofjoe,2026-04-14 06:17:03,0.4578313253012048,False
47751621,Initial mainline video capture and camera support for Rockchip RK3588,technology,80,24,mfilion,2026-04-14 06:17:03,0.2962962962962963,False
47750821,Michigan 'digital age' bills pulled after privacy concerns raised,technology,212,121,iamnothere,2026-04-14 06:17:04,0.568075117370892,True
47744255,I ran Gemma 4 as a local model in Codex CLI,technology,255,106,dvaughan,2026-04-14 06:17:04,0.4140625,True
47754179,Claude Code may be burning your limits with invisible tokens,technology,37,4,jenic_,2026-04-14 06:17:04,0.10526315789473684,False
47733217,Exploiting the most prominent AI agent benchmarks,technology,576,139,Anon84,2026-04-14 06:17:04,0.24090121317157712,True
47756672,The looming college-enrollment death spiral,technology,100,137,JumpCrisscross,2026-04-14 06:17:04,1.3564356435643565,False
47748064,The economics of software teams: Why most engineering orgs are flying blind,technology,393,268,kiyanwang,2026-04-14 06:17:04,0.6802030456852792,True
47760543,Meta spins up AI version of Mark Zuckerberg to engage with employees,technology,10,2,cratermoon,2026-04-14 06:17:04,0.18181818181818182,False
47758880,"When AI Trading Works, You Won't Hear About It",technology,24,3,izyda,2026-04-14 06:17:05,0.12,False
47747017,"Apple's accidental moat: How the ""AI Loser"" may end up winning",technology,407,358,walterbell,2026-04-14 06:17:05,0.8774509803921569,True
47760273,Willingness to fail is now a superpower,technology,6,0,gurjeet,2026-04-14 06:17:05,0.0,False
47758343,CIA reportedly used Pegasus software during rescue of airman in Iran,technology,36,0,Cider9986,2026-04-14 06:17:05,0.0,False
47758831,FAA Says Military Can Use Anti-Drone Lasers in U.S. Airspace,technology,19,5,bookofjoe,2026-04-14 06:17:05,0.25,False
47719490,I gave every train in New York an instrument,technology,385,73,joshuawolk,2026-04-14 06:17:06,0.18911917098445596,True
47754559,Show HN: Mcptube – Karpathy's LLM Wiki idea applied to YouTube videos,technology,7,0,0xchamin,2026-04-14 06:17:06,0.0,False
47755938,Warp,worldnews,6,1,Resayours,2026-04-14 06:17:14,0.14285714285714285,False
47722333,"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",worldnews,436,276,neversaydie,2026-04-14 06:17:16,0.631578947368421,True
47721946,JSON formatter Chrome plugin now closed and injecting adware,worldnews,287,136,jkl5xx,2026-04-14 06:17:20,0.4722222222222222,True
47745261,Vegetative Patients May Be More Aware Than We Knew,worldnews,35,13,bookofjoe,2026-04-14 06:17:22,0.3611111111111111,False
47745230,Sam Altman's home targeted in second attack,worldnews,152,353,babelfish,2026-04-14 06:17:23,2.30718954248366,False
47758029,He Warned About the Dangers of A.I. If Only His Father Had Listened,worldnews,6,0,ceejayoz,2026-04-14 06:17:25,0.0,False
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,392,367,chabons,2026-04-14 06:17:27,0.9338422391857506,True
47729994,Polymarket gamblers betting millions on war,worldnews,159,129,sandebert,2026-04-14 06:17:29,0.80625,True
47693960,Flashback to a time when government reports were works of art,worldnews,30,12,NaOH,2026-04-14 06:17:29,0.3870967741935484,False
47755118,Palantir Stock Continues to Fall. Not Even the President Can Erase the Losses,worldnews,14,2,1vuio0pswjnm7,2026-04-14 06:17:31,0.13333333333333333,False
